chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
adwd-the-spurned-suitor-01,adwd,11,done,2026-05-05 14:33:02,2026-05-05 14:37:30,268,9476,42683,72759,12478,137396,0.66306625,,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,2026-05-05T19:37:30Z,,,,,,,,,2026-05-05T19:37:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:38:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:38:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:39:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:39:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:40:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:40:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:41:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:41:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:42:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:42:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:43:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:43:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:44:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:44:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:45:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:45:30Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,failed-stale,,,,,,,,,,2026-05-05T19:46:00Z,Matthews-Mac-Studio.local-90475,
adwd-the-turncloak-01,adwd,11,done,2026-05-05 14:37:30,2026-05-05 14:46:04,514,5,54933,85709,21241,161888,0.9177947500000001,,Matthews-Mac-Studio.local-90475,
adwd-the-ugly-little-girl-01,adwd,12,failed-stale,2026-05-05T21:27:20Z,,,,,,,,,2026-05-05T21:27:20Z,Matthews-Mac-Studio.local-13798,
