chapter,book,wave,status,start_time,end_time,duration_s,input_tokens,cache_creation_tokens,cache_read_tokens,output_tokens,total_tokens,cost_usd,last_heartbeat,terminal_id,retry_at
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:29:05Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:29:09Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:29:35Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:29:39Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:30:05Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:30:09Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:30:35Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:30:39Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:31:05Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:31:09Z,Mac.attlocal.net-27112,
acok-catelyn-07,acok,5,done,2026-05-04 22:27:05,2026-05-04 22:31:19,254,6,45041,125269,10822,181138,0.61532375,,Mac.attlocal.net-27104,
acok-daenerys-01,acok,5,failed-stale,2026-05-05T03:31:19Z,,,,,,,,,2026-05-05T03:31:19Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,failed-stale,,,,,,,,,,2026-05-05T03:31:39Z,Mac.attlocal.net-27112,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:31:49Z,Mac.attlocal.net-27104,
acok-jon-08,acok,8,done,2026-05-04 22:28:09,2026-05-04 22:31:49,220,6,55877,108401,9017,173301,0.62945775,,Mac.attlocal.net-27112,
acok-prologue,acok,9,failed-stale,2026-05-05T03:31:50Z,,,,,,,,,2026-05-05T03:31:50Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:32:19Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:32:20Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:32:49Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:32:50Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:33:19Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:33:20Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:33:49Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:33:50Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:34:19Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:34:20Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:34:49Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:34:50Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:35:19Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:35:20Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:35:49Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:35:50Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:36:19Z,Mac.attlocal.net-27104,
acok-prologue,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:36:20Z,Mac.attlocal.net-33776,
acok-prologue,acok,9,done,2026-05-04 22:31:50,2026-05-04 22:36:48,298,6,52941,132037,12126,197110,0.70063875,,Mac.attlocal.net-33776,
acok-sansa-01,acok,9,failed-stale,2026-05-05T03:36:48Z,,,,,,,,,2026-05-05T03:36:48Z,Mac.attlocal.net-33776,
acok-daenerys-01,acok,5,failed-stale,,,,,,,,,,2026-05-05T03:36:49Z,Mac.attlocal.net-27104,
acok-daenerys-01,acok,5,done,2026-05-04 22:31:19,2026-05-04 22:37:12,353,5,49758,85847,16061,151671,0.7560459999999999,,Mac.attlocal.net-27104,
acok-daenerys-02,acok,6,failed-stale,2026-05-05T03:37:14Z,,,,,,,,,2026-05-05T03:37:14Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:37:18Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:37:44Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:37:48Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:38:14Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:38:18Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:38:44Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:38:48Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:39:14Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:39:18Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:39:44Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:39:48Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:40:14Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:40:18Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:40:44Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:40:48Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:41:14Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:41:18Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:41:44Z,Mac.attlocal.net-35515,
acok-sansa-01,acok,9,done,2026-05-04 22:36:48,2026-05-04 22:41:46,298,5,46726,85180,13699,145610,0.6777255,,Mac.attlocal.net-33776,
acok-sansa-02,acok,9,failed-stale,2026-05-05T03:41:46Z,,,,,,,,,2026-05-05T03:41:46Z,Mac.attlocal.net-33776,
acok-daenerys-02,acok,6,done,2026-05-04 22:37:14,2026-05-04 22:42:00,286,6,43532,122168,12762,178468,0.652839,,Mac.attlocal.net-35515,
acok-daenerys-03,acok,6,failed-stale,2026-05-05T03:42:00Z,,,,,,,,,2026-05-05T03:42:00Z,Mac.attlocal.net-35515,
acok-sansa-02,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:42:16Z,Mac.attlocal.net-33776,
acok-daenerys-03,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:42:30Z,Mac.attlocal.net-35515,
acok-sansa-02,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:42:46Z,Mac.attlocal.net-33776,
acok-daenerys-03,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:43:00Z,Mac.attlocal.net-35515,
acok-sansa-02,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:43:16Z,Mac.attlocal.net-33776,
acok-daenerys-03,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:43:30Z,Mac.attlocal.net-35515,
acok-sansa-02,acok,9,failed-stale,,,,,,,,,,2026-05-05T03:43:46Z,Mac.attlocal.net-33776,
acok-daenerys-03,acok,6,failed-stale,,,,,,,,,,2026-05-05T03:44:00Z,Mac.attlocal.net-35515,
